name,url,category
AI21 Labs,https://www.ai21.com/,AI/ML
Anthropic,https://www.anthropic.com/,AI/ML
Cohere,https://cohere.ai/,AI/ML
Databricks,https://databricks.com/,AI/ML
Google DeepMind / Google AI,https://deepmind.com/,AI/ML
Hugging Face,https://huggingface.co/,AI/ML
Meta AI,https://ai.meta.com/,AI/ML
Mistral AI,https://mistral.ai/,AI/ML
MLflow,https://mlflow.org/,AI/ML
OpenAI,https://openai.com/,AI/ML
PyTorch,https://pytorch.org/,AI/ML
scikit-learn,https://scikit-learn.org/,AI/ML
Stability AI,https://stability.ai/,AI/ML
TensorFlow,https://www.tensorflow.org/,AI/ML
Alibaba Cloud,https://www.alibabacloud.com/,Cloud
Amazon Web Services (AWS),https://aws.amazon.com/,Cloud
DigitalOcean,https://www.digitalocean.com/,Cloud
Google Cloud Platform,https://cloud.google.com/,Cloud
Hetzner,https://www.hetzner.com/,Cloud
IBM Cloud,https://www.ibm.com/cloud,Cloud
Linode,https://www.linode.com/,Cloud
Microsoft Azure,https://azure.microsoft.com/,Cloud
Oracle Cloud,https://www.oracle.com/cloud/,Cloud
Snowflake,https://www.snowflake.com/,Data
Angular,https://angular.io/,Framework
Django,https://www.djangoproject.com/,Framework
Flask,https://flask.palletsprojects.com/,Framework
Laravel,https://laravel.com/,Framework
Next.js,https://nextjs.org/,Framework
Nuxt,https://nuxt.com/,Framework
React,https://reactjs.org/,Framework
Ruby on Rails,https://rubyonrails.org/,Framework
Spring,https://spring.io/,Framework
Svelte,https://svelte.dev/,Framework
Vue.js,https://vuejs.org/,Framework
.QL,http://semmle.com/,Programming Language
A+ (A plus),http://www.aplusdev.org/,Programming Language
A.NET (A#/A sharp),http://www.asharp.martincarlisle.com,Programming Language
ABAP,https://community.sap.com/topics/abap,Programming Language
ABC,https://homepages.cwi.nl/~steven/abc/,Programming Language
ACC,https://www.openacc.org/get-started,Programming Language
Accent (Rational Synergy),https://www.ibm.com/products/rational-synergy,Programming Language
Action!,https://sourceforge.net/projects/atari-action/,Programming Language
ActionScript,http://www.adobe.com/devnet/actionscript,Programming Language
Ada,https://www.adaic.org/,Programming Language
Adenine (Haystack),http://haystack.csail.mit.edu/#projects,Programming Language
AdvPL,http://tdn.totvs.com/pages/viewpage.action?pageId=27675886,Programming Language
Agda,https://wiki.portal.chalmers.se/agda,Programming Language
Agilent VEE,https://www.keysight.com/us/en/product/W4000D/vee-pro-9-33.html,Programming Language
Agora,http://soft.vub.ac.be/research/agora,Programming Language
AIMMS,https://www.aimms.com/,Programming Language
Aldor,https://aldor.org,Programming Language
Alef,http://doc.cat-v.org/plan_9/2nd_edition/papers/alef/ref,Programming Language
Algebraic Logic Functional programming language,http://www.informatik.uni-kiel.de/~mh/systems/ALF,Programming Language
ALGOL,http://www.masswerk.at/algol60/report.htm,Programming Language
ALGOL 58,http://www.softwarepreservation.org/projects/ALGOL/algol58impl.html,Programming Language
ALGOL 60,https://www.masswerk.at/algol60/report.htm,Programming Language
ALGOL 68,http://algol68-lang.org,Programming Language
Alice ML,http://www.ps.uni-saarland.de/alice,Programming Language
Alma-0,http://www.cwi.nl/en/alma,Programming Language
AmbientTalk,https://soft.vub.ac.be/amop,Programming Language
Amiga E,https://aminet.net/package/dev/e/amigae33a,Programming Language
AMPL,http://www.ampl.com,Programming Language
AngelScript,https://angelcode.com/angelscript/,Programming Language
Apache Pig latin,https://pig.apache.org,Programming Language
"Apex (Salesforce.com, Inc)",https://www.salesforce.com/,Programming Language
APL,https://aplwiki.com/,Programming Language
App Inventor for Android's visual block language (MIT App Inventor),http://appinventor.mit.edu,Programming Language
AppleScript,https://developer.apple.com/library/archive/documentation/AppleScript/Conceptual/AppleScriptLangGuide,Programming Language
APT,http://dl.acm.org/citation.cfm?id=808374&dl=ACM&coll=DL&CFID=203593322&CFTOKEN=45146083,Programming Language
Arc,http://arclanguage.org,Programming Language
ArkTS,http://developer.huawei.com/consumer/cn/arkts,Programming Language
