name,url,category
AI21 Labs,https://www.ai21.com/,AI/ML
Anthropic,https://www.anthropic.com/,AI/ML
Cohere,https://cohere.ai/,AI/ML
Databricks,https://databricks.com/,AI/ML
Google DeepMind / Google AI,https://deepmind.com/,AI/ML
Hugging Face,https://huggingface.co/,AI/ML
Meta AI,https://ai.meta.com/,AI/ML
Mistral AI,https://mistral.ai/,AI/ML
MLflow,https://mlflow.org/,AI/ML
OpenAI,https://openai.com/,AI/ML
PyTorch,https://pytorch.org/,AI/ML
scikit-learn,https://scikit-learn.org/,AI/ML
Stability AI,https://stability.ai/,AI/ML
TensorFlow,https://www.tensorflow.org/,AI/ML
Alibaba Cloud,https://www.alibabacloud.com/,Cloud
Amazon Web Services (AWS),https://aws.amazon.com/,Cloud
DigitalOcean,https://www.digitalocean.com/,Cloud
Google Cloud Platform,https://cloud.google.com/,Cloud
Hetzner,https://www.hetzner.com/,Cloud
IBM Cloud,https://www.ibm.com/cloud,Cloud
Linode,https://www.linode.com/,Cloud
Microsoft Azure,https://azure.microsoft.com/,Cloud
Oracle Cloud,https://www.oracle.com/cloud/,Cloud
Snowflake,https://www.snowflake.com/,Data
Angular,https://angular.io/,Framework
Django,https://www.djangoproject.com/,Framework
Flask,https://flask.palletsprojects.com/,Framework
Laravel,https://laravel.com/,Framework
Next.js,https://nextjs.org/,Framework
Nuxt,https://nuxt.com/,Framework
React,https://reactjs.org/,Framework
Ruby on Rails,https://rubyonrails.org/,Framework
Spring,https://spring.io/,Framework
Svelte,https://svelte.dev/,Framework
Vue.js,https://vuejs.org/,Framework
A+ (A plus),http://www.aplusdev.org/,Programming Language
A.NET (A#/A sharp),http://www.asharp.martincarlisle.com,Programming Language
ACC,https://www.openacc.org/get-started,Programming Language
Ada,https://www.adaic.org/,Programming Language
Adenine (Haystack),http://haystack.csail.mit.edu/#projects,Programming Language
AIMMS,https://www.aimms.com/,Programming Language
Aldor,https://aldor.org,Programming Language
ALGOL 68,http://algol68-lang.org,Programming Language
AMPL,http://www.ampl.com,Programming Language
Apache Pig latin,https://pig.apache.org,Programming Language
"Apex (Salesforce.com, Inc)",https://www.salesforce.com/,Programming Language
APL,https://aplwiki.com/,Programming Language
App Inventor for Android's visual block language (MIT App Inventor),http://appinventor.mit.edu,Programming Language
Arc,http://arclanguage.org,Programming Language
AssemblyScript,http://www.assemblyscript.org,Programming Language
ATS,http://www.ats-lang.org,Programming Language
AutoHotkey,https://www.autohotkey.com/,Programming Language
AutoIt,https://www.autoitscript.com,Programming Language
Averest,http://www.averest.org/,Programming Language
Ballerina,http://ballerina.io,Programming Language
BETA,http://beta.cs.au.dk,Programming Language
BlackBox Component Builder,http://blackboxframework.org,Programming Language
Caml,http://caml.inria.fr,Programming Language
Catrobat,https://catrobat.org,Programming Language
Cayenne (Lennart Augustsson),http://www.augustsson.net,Programming Language
Ceylon,https://ceylon-lang.org,Programming Language
CFEngine,https://cfengine.com/,Programming Language
Chapel (Cascade High Productivity Language),https://chapel-lang.org/,Programming Language
Charm,http://charm.qu-bit.co.uk,Programming Language
ChucK,http://chuck.cs.princeton.edu,Programming Language
Cilk (also Cilk++ and Cilk plus),https://cilk.mit.edu/,Programming Language
Claire,http://www.claire-language.com,Programming Language
Clean,https://clean.cs.ru.nl,Programming Language
CLIPS,http://clipsrules.net,Programming Language
Clojure,https://clojure.org,Programming Language
Cobra,http://cobra-language.com/,Programming Language
CoffeeScript,https://coffeescript.org/,Programming Language
ColdFusion,https://coldfusion.com/,Programming Language
Common Lisp,http://common-lisp.net,Programming Language
Constraint Handling Rules,http://constraint-handling-rules.org,Programming Language
Cryptol,http://www.cryptol.net,Programming Language
Crystal,https://crystal-lang.org/,Programming Language
Csound,http://csound.com,Programming Language
Cuneiform,http://cuneiform-lang.org/,Programming Language
Curl,https://www.curl.com,Programming Language
Curry,http://www.curry-lang.org,Programming Language
Cyclone,http://cyclone.thelanguage.org,Programming Language
Cython,https://cython.org,Programming Language
Dart,https://dart.dev/,Programming Language
dBase,http://www.dbase.com,Programming Language
